title,speaker,song_number,word
Alexander Hamilton,BURR,1,bastard
Alexander Hamilton,BURR,1,orphan
Alexander Hamilton,BURR,1,son
Alexander Hamilton,BURR,1,whore
Alexander Hamilton,BURR,1,scotsman
Alexander Hamilton,BURR,1,dropped
Alexander Hamilton,BURR,1,middle
Alexander Hamilton,BURR,1,forgotten
Alexander Hamilton,BURR,1,spot
Alexander Hamilton,BURR,1,caribbean
Alexander Hamilton,BURR,1,providence
Alexander Hamilton,BURR,1,impoverished
Alexander Hamilton,BURR,1,squalor
Alexander Hamilton,BURR,1,grow
Alexander Hamilton,BURR,1,hero
Alexander Hamilton,BURR,1,scholar
Alexander Hamilton,LAURENS,1,ten
Alexander Hamilton,LAURENS,1,dollar
Alexander Hamilton,LAURENS,1,founding
Alexander Hamilton,LAURENS,1,father
Alexander Hamilton,LAURENS,1,father
Alexander Hamilton,LAURENS,1,lot
Alexander Hamilton,LAURENS,1,farther
Alexander Hamilton,LAURENS,1,lot
Alexander Hamilton,LAURENS,1,harder
Alexander Hamilton,LAURENS,1,lot
Alexander Hamilton,LAURENS,1,smarter
Alexander Hamilton,LAURENS,1,starter
Alexander Hamilton,LAURENS,1,fourteen
Alexander Hamilton,LAURENS,1,charge
Alexander Hamilton,LAURENS,1,trading
Alexander Hamilton,LAURENS,1,charter
Alexander Hamilton,JEFFERSON,1,day
Alexander Hamilton,JEFFERSON,1,slaves
Alexander Hamilton,JEFFERSON,1,slaughtered
Alexander Hamilton,JEFFERSON,1,carted
Alexander Hamilton,JEFFERSON,1,waves
Alexander Hamilton,JEFFERSON,1,struggled
Alexander Hamilton,JEFFERSON,1,guard
Alexander Hamilton,JEFFERSON,1,inside
Alexander Hamilton,JEFFERSON,1,longing
Alexander Hamilton,JEFFERSON,1,brother
Alexander Hamilton,JEFFERSON,1,ready
Alexander Hamilton,JEFFERSON,1,beg
Alexander Hamilton,JEFFERSON,1,steal
Alexander Hamilton,JEFFERSON,1,borrow
Alexander Hamilton,JEFFERSON,1,barter
Alexander Hamilton,MADISON,1,hurricane
Alexander Hamilton,MADISON,1,devastation
Alexander Hamilton,MADISON,1,reigned
Alexander Hamilton,MADISON,1,future
Alexander Hamilton,MADISON,1,drip
Alexander Hamilton,MADISON,1,dripping
Alexander Hamilton,MADISON,1,drain
Alexander Hamilton,MADISON,1,pencil
Alexander Hamilton,MADISON,1,temple
Alexander Hamilton,MADISON,1,connected
Alexander Hamilton,MADISON,1,brain
Alexander Hamilton,MADISON,1,wrote
Alexander Hamilton,MADISON,1,refrain
Alexander Hamilton,MADISON,1,testament
Alexander Hamilton,MADISON,1,pain
Alexander Hamilton,BURR,1,word
Alexander Hamilton,BURR,1,kid
Alexander Hamilton,BURR,1,insane
Alexander Hamilton,BURR,1,collection
Alexander Hamilton,BURR,1,send
Alexander Hamilton,BURR,1,mainland
Alexander Hamilton,BURR,1,education
Alexander Hamilton,BURR,1,forget
Alexander Hamilton,BURR,1,world's
Alexander Hamilton,BURR,1,gonna
Alexander Hamilton,HAMILTON,1,alexander
Alexander Hamilton,HAMILTON,1,hamilton
Alexander Hamilton,HAMILTON,1,alexander
Alexander Hamilton,HAMILTON,1,hamilton
Alexander Hamilton,HAMILTON,1,million
Alexander Hamilton,HAMILTON,1,wait
Alexander Hamilton,HAMILTON,1,wait
Alexander Hamilton,ELIZA,1,ten
Alexander Hamilton,ELIZA,1,father
Alexander Hamilton,ELIZA,1,split
Alexander Hamilton,ELIZA,1,debt
Alexander Hamilton,ELIZA,1,ridden
Alexander Hamilton,ELIZA,1,alex
Alexander Hamilton,ELIZA,1,mother
Alexander Hamilton,ELIZA,1,bed
Alexander Hamilton,ELIZA,1,ridden
Alexander Hamilton,ELIZA,1,half
Alexander Hamilton,ELIZA,1,dead
Alexander Hamilton,ELIZA,1,sittin
Alexander Hamilton,ELIZA,1,sick
Alexander Hamilton,ELIZA,1,scent
Alexander Hamilton,ELIZA,1,thick
Alexander Hamilton,FULL COMPANY EXCEPT HAMILTON (whispering),1,alex
Alexander Hamilton,FULL COMPANY EXCEPT HAMILTON (whispering),1,mother
Alexander Hamilton,FULL COMPANY EXCEPT HAMILTON (whispering),1,quick
Alexander Hamilton,WASHINGTON,1,moved
Alexander Hamilton,WASHINGTON,1,cousin
Alexander Hamilton,WASHINGTON,1,cousin
Alexander Hamilton,WASHINGTON,1,committed
Alexander Hamilton,WASHINGTON,1,suicide
Alexander Hamilton,WASHINGTON,1,left
Alexander Hamilton,WASHINGTON,1,nothin
Alexander Hamilton,WASHINGTON,1,ruined
Alexander Hamilton,WASHINGTON,1,pride
Alexander Hamilton,WASHINGTON,1,inside
Alexander Hamilton,WASHINGTON,1,voice
Alexander Hamilton,WASHINGTON,1,alex
Alexander Hamilton,WASHINGTON,1,gotta
Alexander Hamilton,WASHINGTON,1,fend
Alexander Hamilton,WASHINGTON,1,started
Alexander Hamilton,WASHINGTON,1,retreatin
Alexander Hamilton,WASHINGTON,1,readin
Alexander Hamilton,WASHINGTON,1,treatise
Alexander Hamilton,WASHINGTON,1,shelf
Alexander Hamilton,BURR,1,nothin
Alexander Hamilton,BURR,1,left
Alexander Hamilton,BURR,1,astute
Alexander Hamilton,BURR,1,woulda
Alexander Hamilton,BURR,1,dead
Alexander Hamilton,BURR,1,destitute
Alexander Hamilton,BURR,1,cent
Alexander Hamilton,BURR,1,restitution
Alexander Hamilton,BURR,1,started
Alexander Hamilton,BURR,1,workin
Alexander Hamilton,BURR,1,clerkin
Alexander Hamilton,BURR,1,late
Alexander Hamilton,BURR,1,mother's
Alexander Hamilton,BURR,1,landlord
Alexander Hamilton,BURR,1,tradin
Alexander Hamilton,BURR,1,sugar
Alexander Hamilton,BURR,1,cane
Alexander Hamilton,BURR,1,rum
Alexander Hamilton,BURR,1,afford
Alexander Hamilton,BURR,1,scammin
Alexander Hamilton,BURR,1,book
Alexander Hamilton,BURR,1,hands
Alexander Hamilton,BURR,1,plannin
Alexander Hamilton,BURR,1,future
Alexander Hamilton,BURR,1,stands
Alexander Hamilton,COMPANY,1,ooh
Alexander Hamilton,BURR,1,bow
Alexander Hamilton,BURR,1,ship
Alexander Hamilton,BURR,1,headed
Alexander Hamilton,BURR,1,land
Alexander Hamilton,BURR,1,york
Alexander Hamilton,COMPANY,1,york
Alexander Hamilton,HAMILTON,1,wait
Alexander Hamilton,COMPANY,1,york
Alexander Hamilton,HAMILTON,1,wait
Alexander Hamilton,COMPANY,1,york
Alexander Hamilton,HAMILTON,1,york
Alexander Hamilton,HAMILTON,1,york
Alexander Hamilton,HAMILTON,1,wait
Alexander Hamilton,COMPANY,1,alexander
Alexander Hamilton,COMPANY,1,hamilton
Alexander Hamilton,COMPANY,1,alexander
Alexander Hamilton,COMPANY,1,hamilton
Alexander Hamilton,COMPANY,1,waiting
Alexander Hamilton,COMPANY,1,wings
Alexander Hamilton,COMPANY,1,waiting
Alexander Hamilton,COMPANY,1,wings
Alexander Hamilton,COMPANY,1,learned
Alexander Hamilton,COMPANY,1,time
Alexander Hamilton,COMPANY,1,alexander
Alexander Hamilton,COMPANY,1,hamilton
Alexander Hamilton,COMPANY,1,alexander
Alexander Hamilton,COMPANY,1,hamilton
Alexander Hamilton,COMPANY,1,america
Alexander Hamilton,COMPANY,1,sings
Alexander Hamilton,COMPANY,1,overcame
Alexander Hamilton,COMPANY,1,rewrote
Alexander Hamilton,COMPANY,1,game
Alexander Hamilton,COMPANY,1,world
Alexander Hamilton,BURR,1,ship
Alexander Hamilton,BURR,1,harbor
Alexander Hamilton,BURR,1,spot
Alexander Hamilton,MEN,1,wait
Alexander Hamilton,BURR,1,immigrant
Alexander Hamilton,BURR,1,comin
Alexander Hamilton,BURR,1,bottom
Alexander Hamilton,COMPANY,1,wait
Alexander Hamilton,BURR,1,enemies
Alexander Hamilton,BURR,1,destroyed
Alexander Hamilton,BURR,1,rep
Alexander Hamilton,BURR,1,america
Alexander Hamilton,BURR,1,forgot
Alexander Hamilton,MULLIGAN/MADISON & LAFAYETTE/JEFFERSON,1,fought
Alexander Hamilton,LAURENS/PHILIP,1,died
Alexander Hamilton,WASHINGTON,1,trusted
Alexander Hamilton,ELIZA & ANGELICA & PEGGY/MARIA,1,loved
Alexander Hamilton,BURR,1,damn
Alexander Hamilton,BURR,1,fool
Alexander Hamilton,BURR,1,shot
Alexander Hamilton,COMPANY,1,million
Alexander Hamilton,COMPANY,1,wait
Alexander Hamilton,COMPANY,1,alexander
Alexander Hamilton,COMPANY,1,hamilton
"Aaron Burr, Sir",COMPANY,2,1776
"Aaron Burr, Sir",COMPANY,2,york
"Aaron Burr, Sir",COMPANY,2,city
"Aaron Burr, Sir",HAMILTON,2,pardon
"Aaron Burr, Sir",HAMILTON,2,aaron
"Aaron Burr, Sir",HAMILTON,2,burr
"Aaron Burr, Sir",HAMILTON,2,sir
"Aaron Burr, Sir",BURR,2,depends
"Aaron Burr, Sir",HAMILTON,2,sir
"Aaron Burr, Sir",HAMILTON,2,alexander
"Aaron Burr, Sir",HAMILTON,2,hamilton
"Aaron Burr, Sir",HAMILTON,2,service
"Aaron Burr, Sir",HAMILTON,2,sir
"Aaron Burr, Sir",BURR,2,nervous
"Aaron Burr, Sir",HAMILTON,2,sir
"Aaron Burr, Sir",HAMILTON,2,heard
"Aaron Burr, Sir",HAMILTON,2,princeton
"Aaron Burr, Sir",HAMILTON,2,seeking
"Aaron Burr, Sir",HAMILTON,2,accelerated
"Aaron Burr, Sir",HAMILTON,2,study
"Aaron Burr, Sir",HAMILTON,2,sort
"Aaron Burr, Sir",HAMILTON,2,sorts
"Aaron Burr, Sir",HAMILTON,2,buddy
"Aaron Burr, Sir",HAMILTON,2,punched
"Aaron Burr, Sir",HAMILTON,2,blur
"Aaron Burr, Sir",HAMILTON,2,sir
"Aaron Burr, Sir",HAMILTON,2,handles
"Aaron Burr, Sir",HAMILTON,2,financials
"Aaron Burr, Sir",BURR,2,punched
"Aaron Burr, Sir",BURR,2,bursar
"Aaron Burr, Sir",HAMILTON,2,graduate
"Aaron Burr, Sir",HAMILTON,2,join
"Aaron Burr, Sir",HAMILTON,2,revolution
"Aaron Burr, Sir",HAMILTON,2,looked
"Aaron Burr, Sir",HAMILTON,2,stupid
"Aaron Burr, Sir",HAMILTON,2,stupid
"Aaron Burr, Sir",HAMILTON,2,how'd
"Aaron Burr, Sir",HAMILTON,2,how'd
"Aaron Burr, Sir",HAMILTON,2,graduate
"Aaron Burr, Sir",HAMILTON,2,fast
"Aaron Burr, Sir",BURR,2,parents
"Aaron Burr, Sir",BURR,2,dying
"Aaron Burr, Sir",BURR,2,passed
"Aaron Burr, Sir",HAMILTON,2,orphan
"Aaron Burr, Sir",HAMILTON,2,orphan
"Aaron Burr, Sir",HAMILTON,2,god
"Aaron Burr, Sir",HAMILTON,2,war
"Aaron Burr, Sir",HAMILTON,2,prove
"Aaron Burr, Sir",HAMILTON,2,worth
"Aaron Burr, Sir",HAMILTON,2,bargained
"Aaron Burr, Sir",BURR,2,buy
"Aaron Burr, Sir",BURR,2,drink
"Aaron Burr, Sir",HAMILTON,2,nice
"Aaron Burr, Sir",BURR,2,talking
"Aaron Burr, Sir",BURR,2,offer
"Aaron Burr, Sir",BURR,2,free
"Aaron Burr, Sir",BURR,2,advice
"Aaron Burr, Sir",BURR,2,talk
"Aaron Burr, Sir",BURR,2,smile
"Aaron Burr, Sir",HAMILTON,2,ha
"Aaron Burr, Sir",BURR,2,wanna
"Aaron Burr, Sir",BURR,2,ahead
"Aaron Burr, Sir",BURR,2,fools
"Aaron Burr, Sir",BURR,2,run
"Aaron Burr, Sir",BURR,2,mouths
"Aaron Burr, Sir",BURR,2,wind
"Aaron Burr, Sir",BURR,2,dead
"Aaron Burr, Sir",LAURENS,2,yo
"Aaron Burr, Sir",LAURENS,2,yo
"Aaron Burr, Sir",LAURENS,2,yo
"Aaron Burr, Sir",LAURENS,2,yo
"Aaron Burr, Sir",LAURENS,2,yo
"Aaron Burr, Sir",LAURENS,2,time
"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,2,time
"Aaron Burr, Sir",LAURENS,2,time
"Aaron Burr, Sir",LAURENS,2,time
"Aaron Burr, Sir",LAURENS,2,yo
"Aaron Burr, Sir",LAURENS,2,john
"Aaron Burr, Sir",LAURENS,2,laurens
"Aaron Burr, Sir",LAURENS,2,pints
"Aaron Burr, Sir",LAURENS,2,sam
"Aaron Burr, Sir",LAURENS,2,adams
"Aaron Burr, Sir",LAURENS,2,workin
"Aaron Burr, Sir",LAURENS,2,uh
"Aaron Burr, Sir",LAURENS,2,redcoats
"Aaron Burr, Sir",LAURENS,2,cuz
"Aaron Burr, Sir",LAURENS,2,pop
"Aaron Burr, Sir",LAURENS,2,chick
"Aaron Burr, Sir",LAURENS,2,pop
"Aaron Burr, Sir",LAURENS,2,cops
"Aaron Burr, Sir",LAURENS,2,till
"Aaron Burr, Sir",LAURENS,2,free
"Aaron Burr, Sir",LAFAYETTE,2,oui
"Aaron Burr, Sir",LAFAYETTE,2,oui
"Aaron Burr, Sir",LAFAYETTE,2,mon
"Aaron Burr, Sir",LAFAYETTE,2,ami
"Aaron Burr, Sir",LAFAYETTE,2,je
"Aaron Burr, Sir",LAFAYETTE,2,m'appelle
"Aaron Burr, Sir",LAFAYETTE,2,lafayette
"Aaron Burr, Sir",LAFAYETTE,2,lancelot
"Aaron Burr, Sir",LAFAYETTE,2,revolutionary
"Aaron Burr, Sir",LAFAYETTE,2,set
"Aaron Burr, Sir",LAFAYETTE,2,afar
"Aaron Burr, Sir",LAFAYETTE,2,bonsoir
"Aaron Burr, Sir",LAFAYETTE,2,king
"Aaron Burr, Sir",LAFAYETTE,2,casse
"Aaron Burr, Sir",LAFAYETTE,2,toi
"Aaron Burr, Sir",MULLIGAN,2,brrrah
"Aaron Burr, Sir",MULLIGAN,2,brraaah
"Aaron Burr, Sir",MULLIGAN,2,hercules
"Aaron Burr, Sir",MULLIGAN,2,mulligan
"Aaron Burr, Sir",MULLIGAN,2,lovin
"Aaron Burr, Sir",MULLIGAN,2,heard
"Aaron Burr, Sir",MULLIGAN,2,ya
"Aaron Burr, Sir",MULLIGAN,2,mother
"Aaron Burr, Sir",LAFAYETTE/LAURENS,2,ayyyyy
"Aaron Burr, Sir",MULLIGAN,2,lock
"Aaron Burr, Sir",MULLIGAN,2,ya
"Aaron Burr, Sir",MULLIGAN,2,daughters
"Aaron Burr, Sir",MULLIGAN,2,horses
"Aaron Burr, Sir",MULLIGAN,2,hard
"Aaron Burr, Sir",MULLIGAN,2,intercourse
"Aaron Burr, Sir",MULLIGAN,2,sets
"Aaron Burr, Sir",MULLIGAN,2,corsets
"Aaron Burr, Sir",LAFAYETTE,2,wow
"Aaron Burr, Sir",LAURENS,2,sex
"Aaron Burr, Sir",LAURENS,2,pour
"Aaron Burr, Sir",LAURENS,2,brew
"Aaron Burr, Sir",LAURENS,2,son
"Aaron Burr, Sir",LAURENS,2,raise
"Aaron Burr, Sir",LAURENS,2,couple
"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,2,revolution
"Aaron Burr, Sir",LAURENS,2,prodigy
"Aaron Burr, Sir",LAURENS,2,princeton
"Aaron Burr, Sir",LAURENS,2,college
"Aaron Burr, Sir",MULLIGAN,2,aaron
"Aaron Burr, Sir",MULLIGAN,2,burr
"Aaron Burr, Sir",LAURENS,2,verse
"Aaron Burr, Sir",LAURENS,2,drop
"Aaron Burr, Sir",LAURENS,2,knowledge
"Aaron Burr, Sir",BURR,2,luck
"Aaron Burr, Sir",BURR,2,takin
"Aaron Burr, Sir",BURR,2,stand
"Aaron Burr, Sir",BURR,2,spit
"Aaron Burr, Sir",BURR,2,sit
"Aaron Burr, Sir",BURR,2,land
"Aaron Burr, Sir",LAFAYETTE/MULLIGAN,2,boooo
"Aaron Burr, Sir",LAURENS,2,burr
